loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id,Inom
Meas0Seq,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-7SJ62.ElmRelay\Meas0Seq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas0Seq,1.0
MeasSeq,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-7SJ62.ElmRelay\MeasSeq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasSeq,0.0
Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Measure.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Measure,1.0
Meas_Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Meas_Delta.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_Delta,1.0
Meas_I0mut,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay\Meas_I0mut.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas_I0mut,1.0
MeasPhase,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SJ62.ElmRelay\MeasPhase.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasPhase,1.0
Meas0Seq,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SJ62.ElmRelay\Meas0Seq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,Meas0Seq,1.0
MeasSeq,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SJ62.ElmRelay\MeasSeq.RelMeasure,0,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,MeasSeq,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,Measurement Delta,1.0
Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measure,1.0
Remote Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\Remote Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Remote Measure,1.0
Delta Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\Delta Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Delta Measure,1.0
2nd harm Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\2nd harm Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,2nd harm Measure,1.0
Measure delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Measure delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measure delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measurement,1.0
Measurement 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Measurement 2.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measurement 2,1.0
Measurement Seq,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Measurement Seq.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measurement Seq,1.0
Measurement Seq 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Measurement Seq 2.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Measurement Seq 2,1.0
Diff RMS Meas phase,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Diff RMS Meas phase.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Diff RMS Meas phase,1.0
Diff RMS Meas I2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Diff RMS Meas I2.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Diff RMS Meas I2,1.0
Diff RMS Meas IG,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-SEL 311L.ElmRelay\Diff RMS Meas IG.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,Diff RMS Meas IG,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 1 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 1 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 1 Mot UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 1 Mot OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 1 Mot Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,0.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 1 TV UV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 1 TV UV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 1 TV OV Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,1.0
Measurement Delta,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 1 TV OV Relay.ElmRelay\Measurement Delta.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement Delta,1.0
Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA1.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 1 TV Fr Relay.ElmRelay\Measurement.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA1,Measurement,0.0
Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Measure,1.0
Remote Measure,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 1.ElmSubstat\4.ElmTerm\Cub_1.StaCubic\ZQU11D_ZPVDCD-L1-REL670.ElmRelay\Remote Measure.RelMeasure,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 1,Remote Measure,1.0
